;Title;Description
0;Assistant Commercial Allemand-Anglais F/H (CDI) (H/F);Poste : Rattaché (e) au Responsable de l'équipe commerciale composée de 4 personnes, vous aurez pour missions : -la gestion des comptes clients -la saisie et le suivi des commandes -la gestion des délais de livraison -le suivi quotidien auprès de l'usine -la relance clients pour les offres de prix -la participation à des salons professionnels -l'élaboration de statistiques clients -l'analyse et la synthèse des données tarifaires -le suivi des échantillons et des nouveaux produits Salaire : 38/45 KEUR sur 13 mois selon le profil, participation, Tickets restaurant, Mutuelle. Profil : De formation Bac ou Bac  2 minimum vous avez une expérience de 3-4 ans minimum à un poste similaire. Vous maitrisez couramment l'Allemand et l'Anglais, à l'écrit et à l'oral Vous êtes à l'aise sur Excel et avez une bonne connaissance de SAP Vous êtes à l'aise avec les chiffres : saisie, suivi, et contrôle au quotidien. Vous avez l'esprit d'équipe et êtes orienté(e) service client Vous avez une aisance relationnelle : contacts avec les clients et l'usine. Vous aimez prendre des initiatives et être autonome Vous êtes organisé(e) et rigoureux(se) Entreprise : Fed Supply, cabinet de recrutement temporaire et permanent spécialisé sur les métiers ADV, Achats, Transport et Logistique, recherche pour une société de 40 personnes filiale d'un groupe international à Limay, un Assistant Commercial Trilingue Allemand-Anglais F/H dans le cadre d'un remplacement en CDI.
1;Responsable de Service Logistique F/H (H/F);Rattaché au Responsable d'Exploitation, votre rôle consiste à : - Animer les réunions de service, - Manager vos équipes de manière participative, en fixant des objectifs gagnant-gagnant, - Effectuer le recrutement, suivre les formations, et la montée en compétences de vos équipes, - Gérer le planning de vos équipes, et l'organisation des congés, - Faire respecter la législation sociale, - Être garant de la sécurité de vos équipes et le respect des consignes sur site, - Suivre les Kpi's au quotidien et effectuer des actions correctives si nécessaire, - Être en lien avec le client, - Ere force de proposition sur l'amélioration continue des process, - Gérer un reporting d'activité.
2;TECHNICIEN DE MAINTENANCE ELECTROMECANICIEN H/F;Rattaché(e) au responsable maintenance, vous aurez en charge la réalisation de l'entretien préventif et curatif des équipements de production, dans son domaine de compétence électromécanique. Vous interviendrez essentiellement à titre curatif afin de minimiser les arrêts de ligne. Vos principales activités seront : - L'analyse des défaillances des systèmes électriques, électromécaniques et d'automatisme de l'outil de production, - La réalisation de travaux de dépannage électrique, électromécanique, et d'entretien planifiés des équipement, - Le dépannage d'automatismes, - Le passage des consignes, - Être force de proposition sur des améliorations techniques simples de l'installation. Poste en 38 Salaire selon profil Vous êtes titulaire d'un BTS maintenance industrielle, réactif(ve), rigoureux(se) et méthodique. Vous disposez de solides connaissances techniques et plus particulièrement en électroniques, en mécanique, électricité et automatismes. Menway Emploi, acteur majeur du travail temporaire et du recrutement, recherche pour l'un de ses clients un technicien de maintenance électromécanicien (H/F).
3;COMPTABLE FOURNISSEUR EXPERT H/F;Rejoignez la Direction comptabilité  Véritable expert(e) en Comptabilité Fournisseur, vous êtes garant de la qualité des comptes auxiliaires fournissuers en veillant au respect du processus de paiement des factures dans le système d'information avec l'aide du centre partagé basé en Roumanie. Vos principales missions: - Garantir la bonne tenue des comptes auxiliaires fournisseurs: enregistrement, rapprochement et paiement des factures dans les délai. - Mettre en œuvre les procédures nécessaires pour garantir la conformité des écritures comptables avec les règles du groupe et les règles fiscales. - Assurer Le suivi des disfonctionnements et mettre en œuvre des actions correctives et suivre les indicateurs mensuels. - Analyser les relances fournisseurs et mettre en place des réunions régulières si nécessaires. - Identifier les anomalies de référentiel dans SAP et les transmettre aux services concernés. - Calculer et justifier les provisions mensuelles. - Participer à l'amélioration continue dans la qualité de l'indexation des factures et la mise à jour des procédures.
4;Esthéticien / Esthéticienne;
5;Préparateur / Préparatrice en pharmacie d'officine (H/F);
6;Directeur de magasin d'optique H/F;
7;Opticien / Opticienne;
8;Chef d'Equipe Logistique F/H (CDI) (H/F);Poste : Rattaché au Responsable d'Exploitation, vos principales missions consistent à :  Assurer le bon fonctionnement d'une équipe de travail tout en respectant les objectifs dans les normes de qualité et de sécurité attendus,  Organiser la production des magasiniers,  Effectuer les ajustements nécessaires en termes de qualité de production ou de besoins humains en fonction des aléas,  Veiller au respect des délais, et des procédures de qualité et de délais en respectant la législation,  Gérer l'ensemble de la partie administrative lié à la production et transmettre les informations nécessaires pouvant contribuer à améliorer l'activité,  Veiller à maintenir un bon climat social  Détecter les potentiels de ses équipes ainsi que les besoins en formation nécessaires,  Transmettre les informations liées à l'activité du personnel  Contrôler la qualité de la zone d'entreposage et le matériel,  Animer et piloter un reporting d'activité Profil : De formation Bac ou Bac pro à minima, vous disposez d'une expérience similaire et de préférence en logistique. Vous êtes apte à conduire un engin de manutention, et connaissez les techniques d'animation et d'évaluation d'équipe. Vous êtes reconnu pour être force de proposition, pour votre organisation, votre souplesse, votre réactivité et surtout votre autonomie. Vous aimez travaillez en équipe, vous avez une forte capacité d'écoute et êtes prêt à vous investir sur du long terme Entreprise : Fed Supply, cabinet de recrutement spécialisé, recherche pour son client un Chef d'Equipe Logistique F/H en CDI
9;Responsable Développement Commercial H/F (CDI);Poste : Directement rattaché(e) au Directeur d'agence, vous êtes en charge de commercialiser les produits de la gamme Dachser (Messagerie, Affrètement, ). Pour cela, vous aurez comme principales missions : La prospection auprès des industriels de votre secteur géographique en lien avec les axes de développement stratégique La fidélisation le développement d'un portefeuille La gestion des appels d'offres et des propositions tarifaires. Le suivi de vos actions et la pleine utilisation des outils commerciaux mis à votre disposition. Le partage d'informations avec les autres divisions du groupe (Aérien-Maritime, Logistique, ) dans le but de proposer des offres globales à nos clients. Le suivi de la prestation en lien avec les différents services (production, service client, contrôle de gestion, ) Profil : Titulaire d'une formation supérieure type Bac 3 à Bac 5 (écoles de commerce, Master, ), vous possédez une expérience de 5 ans minimum en commerce terrain dans le secteur du transport. Diplomate, bénéficiant d'une forte capacité de conviction et doté d'un excellent relationnel, votre maîtrise des techniques de ventes, de l'approche grands comptes ainsi que votre connaissance des techniques du transport, font de vous un interlocuteur reconnu(e) et apprécié(e) de vos clients et partenaires. En interne, vous êtes force de propositions et vous savez également travailler en collaboration avec l'ensemble des services de l'agence afin de garantir à vos clients, la haute qualité de prestations qui fait la réputation du groupe Dachser. Votre gout du challenge, vous permettra de vous investir pleinement dans le développement de cette nouvelle activité stratégique. Qualités requises pour ce poste : autonomie, rigueur et organisation, sens relationnel et commercial, capacité de conviction et ténacité sont autant d'atouts qui garantiront votre réussite au sein de notre groupe dont les valeurs, le dynamisme et la capacité d'innovation sont reconnus par les grands donneurs d'ordres. Entreprise : En intégrant la société DACHSER France, vous rejoignez un groupe européen reconnu comme l'un des meilleurs prestataires de services transports et logistiques en Europe et dans le monde, grâce à son réseau intégré d'une rare densité, totalement informatisé, et à une forte culture d'entreprise orientée client. La diversité de nos métiers associée à nos multiples implantations en Europe et dans le monde, représente pour vous autant d'opportunités d'évolutions. Chaque jour, nos clients s'appuient sur un réseau de plus de 400 agences et peuvent compter sur l'engagement personnel de 30 609 collaborateurs, apportant la preuve que dimension mondiale peut rimer avec proximité commerciale.
10;Attaché(e) Commercial H/F (CDI);Poste : Directement rattaché(e) au Directeur d'agence de Chanverrie - Le Landreau, vous êtes en charge de commercialiser les produits de la gamme Dachser (Messagerie, Affrètement, ). Pour cela, vous aurez comme principales missions : La prospection auprès des industriels de votre secteur géographique en lien avec les axes de développement stratégique La fidélisation le développement d'un portefeuille La gestion des appels d'offres et des propositions tarifaires. Le suivi de vos actions et la pleine utilisation des outils commerciaux mis à votre disposition. Le partage d'informations avec les autres divisions du groupe (Aérien-Maritime, Logistique, ) dans le but de proposer des offres globales à nos clients. Le suivi de la prestation en lien avec les différents services (production, service client, contrôle de gestion, ) Profil : Titulaire d'une formation supérieure type Bac 2 (DUT, BTS, ) à Bac 5 (écoles de commerce, Master, ), vous possédez une expérience de 2 ans minimum en commerce terrain dans le secteur du transport. Diplomate, bénéficiant d'une forte capacité de conviction et doté d'un excellent relationnel, votre maîtrise des techniques de ventes, de l'approche grands comptes ainsi que votre connaissance des techniques du transport, font de vous un interlocuteur reconnu(e) et apprécié(e) de vos clients et partenaires. En interne, vous êtes force de propositions et vous savez également travailler en collaboration avec l'ensemble des services de l'agence afin de garantir à vos clients, la haute qualité de prestations qui fait la réputation du groupe Dachser. Votre gout du challenge, vous permettra de vous investir pleinement dans le développement de cette nouvelle activité stratégique. Qualités requises pour ce poste : autonomie, rigueur et organisation, sens relationnel et commercial, capacité de conviction et ténacité sont autant d'atouts qui garantiront votre réussite au sein de notre groupe dont les valeurs, le dynamisme et la capacité d'innovation sont reconnus par les grands donneurs d'ordres. Entreprise : En intégrant la société DACHSER France, vous rejoignez un groupe européen reconnu comme l'un des meilleurs prestataires de services transports et logistiques en Europe et dans le monde, grâce à son réseau intégré d'une rare densité, totalement informatisé, et à une forte culture d'entreprise orientée client. La diversité de nos métiers associée à nos multiples implantations en Europe et dans le monde, représente pour vous autant d'opportunités d'évolutions. Chaque jour, nos clients s'appuient sur un réseau de plus de 400 agences et peuvent compter sur l'engagement personnel de 30 609 collaborateurs, apportant la preuve que dimension mondiale peut rimer avec proximité commerciale.
11;Chef de projet Citéslab (H/F);
12;Préparateur de commandes F/H (H/F);"Notre métier, c'est l'emploi. Des milliers d'offres d'emploi, 17 pays, 770 agences, plus de 4000 collaborateurs.Le Groupe Synergie, 1er groupe français en gestion des Ressources Humaines, vous accompagne dans l'évolution de votre carrière professionnelle : recrutement CDD-CDI, intérim, formation et conseil RH. Depuis notre origine, nous marquons notre différence par notre sens de l'engagement et notre capacité à apporter des solutions concrètes aux clients, candidats et intérimaires qui nous font confiance.Notre client, situé sur Saint Martin de Crau, spécialisé dans la logistique, traite actuellement avec différents dossiers de plusieurs chaînes de grande distribution de bricolage, de vêtement, d'aménagement de la maison, outillage de jardin, d'article de sportSynergie Proxi SMDC recrute des préparateurs de commande H/F en logistique pour l'un de ses clients basé sur ST MARTIN DE CRAU.Vous effectuez la préparation de commandes sur chariots auto-portés à l'aide d'une flasheuse, le prélèvement des colis se fait en picking numérotés.Préparation tablette ou vocale. Côté pratique :  Horaires postés : matin &amp; après-midi Disponible du Lundi au Vendredi (samedi en forte saison). Contrat en CDI intérim. Possibilité d'évolution, et de financement des CACES.  Salaire de 10.15 €/H  6.55 € de panier Bénéficiez du Comité d'Entreprise dès la signature de votre contrat.  Mutuelle Prévoyance En tant qu'intérimaire Synergie, vous bénéficiez aussi des avantages du CSE Synergie : tarifs préférentiels sur les loisirs (cinéma, parcs d'attractions, spectacles), subventions sport et vacances.Respect des délais et des consignes de contrôle de qualité et de quantité.L'utilisation de chariots de manutention. CACES 1Réaliser des tâches répétitives;Le permis cariste est nécessaire pour manipuler des transpalettes ou des chariots élévateur."
